title|channelFrom|url|endUrl|endUrlClean|finalLink
NECA - Ghostface - 7" Ultimate Action Figure|walmart-monitor|https://mavely.app.link/e/7qhzlmjIXHb|https://www.walmart.com/ip/tempo/5258440311?clickid=U5VUwm3QFxyKRP31q3VU72P5UkC13DVGsX%3A2RA0&irgwc=1&sourceid=imp_U5VUwm3QFxyKRP31q3VU72P5UkC13DVGsX%3A2RA0&veh=aff&wmlspartner=imp_1390754&affiliates_ad_id=565706&campaign_id=9383&sharedid=|https://www.walmart.com/ip/tempo/5258440311|undefined
NECA - Ghostface - 7" Ultimate Action Figure|walmart-monitor|https://mavely.app.link/e/7qhzlmjIXHb|https://www.walmart.com/ip/tempo/5258440311?clickid=U5%3A09n3QFxyKRP31q3VU72P5UkC13DVGsX%3A2RA0&irgwc=1&sourceid=imp_U5%3A09n3QFxyKRP31q3VU72P5UkC13DVGsX%3A2RA0&veh=aff&wmlspartner=imp_1390754&affiliates_ad_id=565706&campaign_id=9383&sharedid=|https://www.walmart.com/ip/tempo/5258440311|undefined
NECA - Ghostface - 7" Ultimate Action Figure|walmart-monitor|https://mavely.app.link/e/7qhzlmjIXHb|https://www.walmart.com/ip/tempo/5258440311?clickid=WZrw7h3QCxyKRP31q3VU72P5UkC13C3XsX%3A2RA0&irgwc=1&sourceid=imp_WZrw7h3QCxyKRP31q3VU72P5UkC13C3XsX%3A2RA0&veh=aff&wmlspartner=imp_1390754&affiliates_ad_id=565706&campaign_id=9383&sharedid=|https://www.walmart.com/ip/tempo/5258440311|https://mavely.app.link/e/qezWipggmMb
NECA - Ghostface - 7" Ultimate Action Figure|walmart-monitor|https://mavely.app.link/e/7qhzlmjIXHb|https://www.walmart.com/ip/tempo/5258440311?clickid=Wb93K%3A3QCxyKRP31q3VU72P5UkC13C3msX%3A2RA0&irgwc=1&sourceid=imp_Wb93K%3A3QCxyKRP31q3VU72P5UkC13C3msX%3A2RA0&veh=aff&wmlspartner=imp_1390754&affiliates_ad_id=565706&campaign_id=9383&sharedid=|https://www.walmart.com/ip/tempo/5258440311|null
Hot Wheels Legends Team Transport Hauler & Toy Car, 2-Pack of Premium 1:64 Scale Vehicles|walmart-monitor|https://mavely.app.link/e/zHCLVVbFeKb|https://www.walmart.com/ip/tempo/5486128803?clickid=VI%3A3do3QCxyKRP31q3VU72P5UkC13CTWsX%3A2RA0&irgwc=1&sourceid=imp_VI%3A3do3QCxyKRP31q3VU72P5UkC13CTWsX%3A2RA0&veh=aff&wmlspartner=imp_1390754&affiliates_ad_id=565706&campaign_id=9383&sharedid=|https://www.walmart.com/ip/tempo/5486128803|https://mavely.app.link/e/pvdF2cmgmMb
Hot Wheels Legends Team Transport Hauler & Toy Car, 2-Pack of Premium 1:64 Scale Vehicles|walmart-monitor|https://mavely.app.link/e/zHCLVVbFeKb|https://www.walmart.com/ip/tempo/5486128803?clickid=VI-Ucn3QCxyKRP31q3VU72P5UkC13CTWsX%3A2RA0&irgwc=1&sourceid=imp_VI-Ucn3QCxyKRP31q3VU72P5UkC13CTWsX%3A2RA0&veh=aff&wmlspartner=imp_1390754&affiliates_ad_id=565706&campaign_id=9383&sharedid=|https://www.walmart.com/ip/tempo/5486128803|https://mavely.app.link/e/pvdF2cmgmMb
Michael Myers Light-Up Pumpkin Statue - Halloween II|spirit-halloween-spencers|https://mavely.app.link/e/7rRMc7DrfMb|https://www.spirithalloween.com/product/michael-myers-light-up-pumpkin-statue-halloween-ii/268475.uts?affiliate_id=189995&utm_campaign=AFF%3APJ&utm_source=pepperjam&utm_medium=affiliate&utm_inex=e&utm_content=8-10975&click_id=4834530918&clickId=4834530918|https://www.spirithalloween.com/product/michael-myers-light-up-pumpkin-statue-halloween-ii/268475.uts|null
Michael Myers Light-Up Pumpkin Statue - Halloween II|spirit-halloween-spencers|https://mavely.app.link/e/7rRMc7DrfMb|https://www.spirithalloween.com/product/michael-myers-light-up-pumpkin-statue-halloween-ii/268475.uts?affiliate_id=189995&utm_campaign=AFF%3APJ&utm_source=pepperjam&utm_medium=affiliate&utm_inex=e&utm_content=8-10975&click_id=4834530927&clickId=4834530927|https://www.spirithalloween.com/product/michael-myers-light-up-pumpkin-statue-halloween-ii/268475.uts|null
Michael Myers Light-Up Pumpkin Statue - Halloween II|spirit-halloween-spencers|https://mavely.app.link/e/7rRMc7DrfMb|https://www.spirithalloween.com/product/michael-myers-light-up-pumpkin-statue-halloween-ii/268475.uts?affiliate_id=189995&utm_campaign=AFF%3APJ&utm_source=pepperjam&utm_medium=affiliate&utm_inex=e&utm_content=8-10975&click_id=4834532020&clickId=4834532020|https://www.spirithalloween.com/product/michael-myers-light-up-pumpkin-statue-halloween-ii/268475.uts|https://mavely.app.link/e/Rcimx5MgmMb
Michael Myers Light-Up Pumpkin Statue - Halloween II|spirit-halloween-spencers|https://mavely.app.link/e/7rRMc7DrfMb|https://www.spirithalloween.com/product/michael-myers-light-up-pumpkin-statue-halloween-ii/268475.uts?affiliate_id=189995&utm_campaign=AFF%3APJ&utm_source=pepperjam&utm_medium=affiliate&utm_inex=e&utm_content=8-10975&click_id=4834532009&clickId=4834532009|https://www.spirithalloween.com/product/michael-myers-light-up-pumpkin-statue-halloween-ii/268475.uts|https://mavely.app.link/e/Rcimx5MgmMb
